transaction_count,transaction_date,transaction_dow,transaction_year,transaction_month,transaction_quarter,transaction_week,transaction_doy,transaction_daynum,transaction_age,doy_avg,dow_avg,week_avg,month_avg,qt_avg
5147088,2013-06-19,3,2013,6,2,25,170,79,2 mons 18 days,12242630.500000000000,16523304.380281690141,11086389.333333333333,10806612.227272727273,9687568.742424242424
3775573,2013-06-20,4,2013,6,2,25,171,80,2 mons 19 days,10160704.000000000000,17245438.069444444444,11086389.333333333333,10806612.227272727273,9687568.742424242424
5051919,2013-06-21,5,2013,6,2,25,172,81,2 mons 20 days,12426911.000000000000,17438844.183098591549,11086389.333333333333,10806612.227272727273,9687568.742424242424
3859910,2013-06-22,6,2013,6,2,25,173,82,2 mons 21 days,10018399.000000000000,16582741.000000000000,11086389.333333333333,10806612.227272727273,9687568.742424242424
3874241,2013-06-23,7,2013,6,2,25,174,83,2 mons 22 days,10366727.500000000000,17050789.786666666667,11086389.333333333333,10806612.227272727273,9687568.742424242424
4015213,2013-06-25,2,2013,6,2,26,176,85,2 mons 24 days,10502836.000000000000,16805801.611111111111,10969039.571428571429,10806612.227272727273,9687568.742424242424
4026523,2013-06-26,3,2013,6,2,26,177,86,2 mons 25 days,10744471.000000000000,16523304.380281690141,10969039.571428571429,10806612.227272727273,9687568.742424242424
3204607,2013-06-28,5,2013,6,2,26,179,88,2 mons 27 days,8714724.500000000000,17438844.183098591549,10969039.571428571429,10806612.227272727273,9687568.742424242424
4892941,2013-07-01,1,2013,7,3,27,182,91,3 mons,12694715.500000000000,17280507.095890410959,12204931.272727272727,12401182.477272727273,14089389.022727272727
4425147,2013-07-02,2,2013,7,3,27,183,92,3 mons 1 day,11481278.500000000000,16805801.611111111111,12204931.272727272727,12401182.477272727273,14089389.022727272727
4881896,2013-07-03,3,2013,7,3,27,184,93,3 mons 2 days,12238621.500000000000,16523304.380281690141,12204931.272727272727,12401182.477272727273,14089389.022727272727
5095658,2013-07-04,4,2013,7,3,27,185,94,3 mons 3 days,12442838.500000000000,17245438.069444444444,12204931.272727272727,12401182.477272727273,14089389.022727272727
6689347,2013-07-06,6,2013,7,3,27,187,96,3 mons 5 days,16055496.500000000000,16582741.000000000000,12204931.272727272727,12401182.477272727273,14089389.022727272727
4428343,2013-07-07,7,2013,7,3,27,188,97,3 mons 6 days,11591554.000000000000,17050789.786666666667,12204931.272727272727,12401182.477272727273,14089389.022727272727
4356106,2013-07-08,1,2013,7,3,28,189,98,3 mons 7 days,11689895.500000000000,17280507.095890410959,13071085.818181818182,12401182.477272727273,14089389.022727272727
