i	date	DJIA-MINS
256	12/4/2006 9:33	12212.15
257	12/4/2006 9:35	12217.92
258	12/4/2006 9:39	12235.55
259	12/4/2006 9:41	12227.21
260	12/4/2006 9:44	12226.89
261	12/4/2006 9:47	12226.49
262	12/4/2006 9:49	12222.25
263	12/4/2006 9:51	12228.34
264	12/4/2006 9:54	12230.58
265	12/4/2006 9:56	12228.26
266	12/4/2006 9:59	12229.7
267	12/4/2006 10:02	12245.64
268	12/4/2006 10:04	12242.36
269	12/4/2006 10:07	12244.36
270	12/4/2006 10:10	12239.63
271	12/4/2006 10:12	12237.07
272	12/4/2006 10:15	12239.79
273	12/4/2006 10:18	12234.34
274	12/4/2006 10:20	12232.66
275	12/4/2006 10:26	12244.92
276	12/4/2006 10:28	12241.55
277	12/4/2006 10:30	12240.67
278	12/4/2006 10:34	12235.87
279	12/4/2006 10:36	12226.73
280	12/4/2006 10:39	12222.57
281	12/4/2006 10:42	12225.13
282	12/4/2006 10:44	12225.69
283	12/4/2006 10:47	12225.29
284	12/4/2006 10:50	12224.57
285	12/4/2006 10:52	12226.25
286	12/4/2006 10:55	12228.98
287	12/4/2006 10:58	12235.55
288	12/4/2006 11:00	12234.91
289	12/4/2006 11:02	12236.99
290	12/4/2006 11:05	12238.99
291	12/4/2006 11:06	12241.31
292	12/4/2006 11:09	12245.8
293	12/4/2006 11:12	12252.13
294	12/4/2006 11:14	12257.34
295	12/4/2006 11:17	12266.31
296	12/4/2006 11:20	12261.1
297	12/4/2006 11:21	12263.91
298	12/4/2006 11:24	12265.91
299	12/4/2006 11:27	12265.27
300	12/4/2006 11:28	12263.67
301	12/4/2006 11:34	12261.74
302	12/4/2006 11:36	12260.78
303	12/4/2006 11:38	12261.18
304	12/4/2006 11:41	12260.7
305	12/4/2006 11:43	12255.57
306	12/4/2006 11:48	12252.69
307	12/4/2006 11:50	12250.93
308	12/4/2006 11:52	12250.85
309	12/4/2006 11:55	12252.05
310	12/4/2006 11:56	12258.14
311	12/4/2006 11:58	12258.54
312	12/4/2006 12:01	12257.02
313	12/4/2006 12:03	12256.54
314	12/4/2006 12:05	12258.54
315	12/4/2006 12:07	12256.06
316	12/4/2006 12:09	12255.17
317	12/4/2006 12:11	12257.02
318	12/4/2006 12:14	12258.06
319	12/4/2006 12:16	12257.02
320	12/4/2006 12:21	12262.14
321	12/4/2006 12:22	12256.14
322	12/4/2006 12:25	12256.38
323	12/4/2006 12:28	12254.05
324	12/4/2006 12:29	12251.49
325	12/4/2006 12:35	12259.5
326	12/4/2006 12:36	12260.7
327	12/4/2006 12:39	12261.42
328	12/4/2006 12:42	12259.02
329	12/4/2006 12:43	12261.74
330	12/4/2006 12:45	12262.14
331	12/4/2006 12:48	12261.26
332	12/4/2006 12:50	12259.82
333	12/4/2006 12:52	12259.58
334	12/4/2006 12:55	12258.54
335	12/4/2006 12:57	12260.62
336	12/4/2006 12:59	12264.23
337	12/4/2006 13:02	12266.15
338	12/4/2006 13:04	12269.91
339	12/4/2006 13:09	12274.08
340	12/4/2006 13:11	12272.8
341	12/4/2006 13:16	12269.11
342	12/4/2006 13:18	12267.67
343	12/4/2006 13:24	12273.68
344	12/4/2006 13:26	12273.76
345	12/4/2006 13:31	12277.69
346	12/4/2006 13:33	12282.41
347	12/4/2006 13:39	12291.22
348	12/4/2006 13:41	12296.75
349	12/4/2006 13:47	12303.24
350	12/4/2006 13:48	12303.24
351	12/4/2006 13:54	12299.32
352	12/4/2006 13:56	12296.59
353	12/4/2006 14:02	12298.92
354	12/4/2006 14:04	12298.43
355	12/4/2006 14:10	12298.27
356	12/4/2006 14:12	12300.36
357	12/4/2006 14:18	12300.12
358	12/4/2006 14:20	12296.99
359	12/4/2006 14:26	12289.22
360	12/4/2006 14:28	12290.98
361	12/4/2006 14:31	12294.03
362	12/4/2006 14:34	12293.07
363	12/4/2006 14:36	12291.22
364	12/4/2006 14:43	12294.59
365	12/4/2006 14:45	12291.87
366	12/4/2006 14:51	12296.11
367	12/4/2006 14:52	12295.39
368	12/4/2006 14:59	12306.85
369	12/4/2006 15:01	12307.89
370	12/4/2006 15:07	12292.75
371	12/4/2006 15:09	12288.74
372	12/4/2006 15:15	12284.9
373	12/4/2006 15:17	12287.78
374	12/4/2006 15:23	12278.89
375	12/4/2006 15:25	12280.25
376	12/4/2006 15:30	12273.68
377	12/4/2006 15:32	12272.88
378	12/4/2006 15:34	12277.77
379	12/4/2006 15:38	12279.77
380	12/4/2006 15:39	12282.41
381	12/4/2006 15:42	12288.1
382	12/4/2006 15:45	12285.14
383	12/4/2006 15:47	12278.41
384	12/4/2006 15:49	12272.4
385	12/4/2006 15:52	12274.4
386	12/4/2006 15:53	12272
387	12/4/2006 15:56	12273.76
388	12/4/2006 15:59	12281.53
389	12/4/2006 16:01	12282.33
390	12/4/2006 16:03	12283.85
391	12/5/2006 9:31	12290.66
392	12/5/2006 9:32	12278.97
393	12/5/2006 9:35	12288.02
394	12/5/2006 9:38	12284.9
395	12/5/2006 9:40	12287.94
396	12/5/2006 9:42	12281.45
397	12/5/2006 9:46	12281.93
398	12/5/2006 9:47	12276.88
399	12/5/2006 9:50	12277.45
400	12/5/2006 9:53	12287.7
401	12/5/2006 9:55	12288.66
402	12/5/2006 9:57	12288.58
403	12/5/2006 10:01	12296.91
404	12/5/2006 10:02	12307.97
405	12/5/2006 10:08	12310.13
406	12/5/2006 10:10	12295.23
407	12/5/2006 10:12	12316.38
408	12/5/2006 10:15	12311.41
409	12/5/2006 10:17	12316.14
410	12/5/2006 10:23	12334
411	12/5/2006 10:25	12324.87
412	12/5/2006 10:28	12322.07
413	12/5/2006 10:31	12310.21
414	12/5/2006 10:33	12313.98
415	12/5/2006 10:35	12307.41
416	12/5/2006 10:38	12310.37
417	12/5/2006 10:40	12314.46
418	12/5/2006 10:47	12312.21
419	12/5/2006 10:49	12309.41
420	12/5/2006 10:52	12317.1
421	12/5/2006 10:55	12317.42
422	12/5/2006 10:57	12316.22
423	12/5/2006 11:03	12314.38
424	12/5/2006 11:05	12311.49
425	12/5/2006 11:08	12311.09
426	12/5/2006 11:11	12304.84
427	12/5/2006 11:13	12305.64
428	12/5/2006 11:15	12307.65
429	12/5/2006 11:19	12310.69
430	12/5/2006 11:20	12313.34
431	12/5/2006 11:23	12316.22
432	12/5/2006 11:27	12318.22
433	12/5/2006 11:28	12317.18
434	12/5/2006 11:34	12311.41
435	12/5/2006 11:36	12315.34
436	12/5/2006 11:38	12316.54
437	12/5/2006 11:41	12322.31
438	12/5/2006 11:43	12322.31
439	12/5/2006 11:49	12313.82
440	12/5/2006 11:51	12313.9
441	12/5/2006 11:56	12312.93
442	12/5/2006 11:58	12307.17
443	12/5/2006 12:00	12303.72
444	12/5/2006 12:03	12300.28
445	12/5/2006 12:05	12299.88
446	12/5/2006 12:11	12292.43
447	12/5/2006 12:12	12296.75
448	12/5/2006 12:15	12301.32
449	12/5/2006 12:18	12301.48
450	12/5/2006 12:20	12304.2
451	12/5/2006 12:22	12304.52
452	12/5/2006 12:25	12306.37
453	12/5/2006 12:26	12307.73
454	12/5/2006 12:29	12309.49
455	12/5/2006 12:32	12310.05
456	12/5/2006 12:33	12318.38
457	12/5/2006 12:35	12316.3
458	12/5/2006 12:38	12314.3
459	12/5/2006 12:40	12312.05
460	12/5/2006 12:42	12305.72
461	12/5/2006 12:46	12307.17
462	12/5/2006 12:47	12303.16
463	12/5/2006 12:53	12311.09
464	12/5/2006 12:54	12310.93
465	12/5/2006 12:57	12311.01
466	12/5/2006 13:00	12316.7
467	12/5/2006 13:01	12317.26
468	12/5/2006 13:03	12316.94
469	12/5/2006 13:06	12316.3
470	12/5/2006 13:07	12315.34
471	12/5/2006 13:09	12317.66
472	12/5/2006 13:12	12319.18
473	12/5/2006 13:13	12319.9
474	12/5/2006 13:18	12325.51
475	12/5/2006 13:20	12325.35
476	12/5/2006 13:22	12319.18
477	12/5/2006 13:25	12312.77
478	12/5/2006 13:26	12310.77
479	12/5/2006 13:33	12318.7
480	12/5/2006 13:35	12319.02
481	12/5/2006 13:41	12315.5
482	12/5/2006 13:43	12319.18
483	12/5/2006 13:45	12319.1
484	12/5/2006 13:48	12320.79
485	12/5/2006 13:49	12320.79
486	12/5/2006 13:51	12315.74
487	12/5/2006 13:54	12315.34
488	12/5/2006 13:55	12313.5
489	12/5/2006 13:57	12314.14
490	12/5/2006 14:00	12314.06
491	12/5/2006 14:02	12314.46
492	12/5/2006 14:04	12312.21
493	12/5/2006 14:07	12316.06
494	12/5/2006 14:09	12316.94
495	12/5/2006 14:11	12321.75
496	12/5/2006 14:14	12320.23
497	12/5/2006 14:16	12321.43
498	12/5/2006 14:22	12329.6
499	12/5/2006 14:24	12327.76
500	12/5/2006 14:26	12323.83
501	12/5/2006 14:29	12322.71
502	12/5/2006 14:31	12324.07
503	12/5/2006 14:37	12326.31
504	12/5/2006 14:38	12328
505	12/5/2006 14:45	12334.08
506	12/5/2006 14:46	12334.57
507	12/5/2006 14:53	12330.8
508	12/5/2006 14:54	12331.36
509	12/5/2006 14:57	12329.36
510	12/5/2006 15:00	12330.32
511	12/5/2006 15:02	12329.6
512	12/5/2006 15:04	12323.19
513	12/5/2006 15:08	12315.34
514	12/5/2006 15:10	12312.61
515	12/5/2006 15:16	12327.19
516	12/5/2006 15:18	12321.43
517	12/5/2006 15:24	12325.43
518	12/5/2006 15:26	12321.27
519	12/5/2006 15:29	12323.99
520	12/5/2006 15:32	12321.43
521	12/5/2006 15:34	12319.9
522	12/5/2006 15:40	12328.72
523	12/5/2006 15:42	12328.96
524	12/5/2006 15:48	12328.8
525	12/5/2006 15:49	12327.36
526	12/5/2006 15:52	12326.55
527	12/5/2006 15:55	12328.32
528	12/5/2006 15:57	12329.92
529	12/5/2006 15:59	12329.12
530	12/5/2006 16:02	12331.84
531	12/5/2006 16:03	12331.6
532	12/6/2006 9:31	12331.92
533	12/6/2006 9:33	12324.31
534	12/6/2006 9:40	12321.83
535	12/6/2006 9:42	12317.58
536	12/6/2006 9:45	12316.94
537	12/6/2006 9:49	12318.78
538	12/6/2006 9:50	12318.3
539	12/6/2006 9:53	12310.05
540	12/6/2006 9:56	12316.7
541	12/6/2006 9:57	12314.06
542	12/6/2006 10:03	12304.2
543	12/6/2006 10:05	12304.52
544	12/6/2006 10:11	12309.73
545	12/6/2006 10:13	12311.97
546	12/6/2006 10:15	12314.38
547	12/6/2006 10:18	12317.26
548	12/6/2006 10:20	12319.02
549	12/6/2006 10:22	12329.68
550	12/6/2006 10:25	12331.84
